keyword,volume,cpc_usd,competitor_domain,country
website builder,49000,13.1,wix.com,US
drag and drop website builder,8800,11.4,wix.com,US
small business website builder,6400,15.0,squarespace.com,US
ecommerce website builder,12000,16.8,wix.com,US
конструктор сайтов бесплатно,21000,3.1,tilda.cc,RU
сделать лендинг,9500,4.2,tilda.cc,RU
landing page builder,14000,10.2,tilda.cc,US
criar loja virtual,11000,5.5,wix.com,BR
crear tienda online,13000,6.0,wix.com,ES
website erstellen lassen,7200,9.0,wix.com,DE
website builder,49000,13.1,wix.com,US
ai website builder,21000,12.0,wix.com,US
